1, 23269
1, 23254
1, 24034
1, 23324
1, 23354
1, 24337
1, 23292
1, 23276
1, 23274
1, 23278
2, 11719
2, 11712
2, 11736
2, 15194
2, 11732
2, 11735
2, 11704
2, 11722
2, 11731
2, 11733
3, 7937
3, 7931
3, 7905
3, 7911
3, 13063
3, 7762
3, 7886
3, 7873
3, 7939
3, 7905
4, 4456
4, 9774
4, 9747
4, 9763
4, 9742
4, 9782
4, 11588
4, 9468
4, 10305
4, 9626
5, 10589
5, 7242
5, 9092
5, 6680
5, 8984
5, 7901
5, 7331
5, 6058
5, 8582
5, 7434
6, 6908
6, 8699
6, 6972
6, 8615
6, 9844
6, 9939
6, 12391
6, 6495
6, 8656
6, 6904
7, 6259
7, 9647
7, 6708
7, 6169
7, 6748
7, 8424
7, 7407
7, 7181
7, 6944
7, 7874
8, 6273
8, 9178
8, 7332
8, 8072
8, 4931
8, 8321
8, 6759
8, 6673
8, 9969
8, 8889
