1, 131683
1, 130355
1, 126724
1, 126638
1, 126530
1, 126649
1, 127261
1, 128032
1, 128591
1, 128238
2, 68706
2, 66766
2, 68477
2, 65108
2, 67184
2, 68714
2, 71976
2, 67147
2, 66791
2, 67415
3, 44752
3, 37181
3, 39717
3, 36261
3, 46582
3, 34644
3, 40394
3, 34472
3, 35910
3, 41094
4, 40280
4, 31413
4, 34065
4, 38544
4, 44985
4, 40629
4, 39454
4, 27589
4, 27226
4, 40591
5, 35681
5, 29777
5, 28264
5, 28104
5, 29968
5, 37077
5, 28636
5, 30653
5, 27434
5, 27349
6, 34194
6, 25076
6, 29519
6, 24554
6, 38198
6, 34662
6, 32725
6, 27865
6, 32986
6, 27968
7, 28699
7, 36555
7, 34507
7, 31066
7, 33994
7, 29797
7, 32256
7, 33014
7, 30817
7, 32515
8, 25946
8, 26487
8, 35553
8, 26719
8, 28618
8, 25596
8, 33978
8, 31189
8, 25384
8, 35183
